chunk_info,implementation,n_features,n_neighbors,n_samples_test,n_samples_train,throughput,time_elapsed,trial
"(2048, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.08416929695719658,0.95997,0.0
"(4096, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.07048396664224152,1.14636,0.0
"(128, 8)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.14683433888202369,0.55028,0.0
"(256, 4)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.1656892096952795,0.48766,0.0
"(512, 2)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.16124204266528305,0.50111,0.0
"(1024, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.08503651939632491,0.95018,0.0
"(2048, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.08496230323550752,0.95101,0.0
"(4096, 1)",Parallel on X_test,100.0,10.0,1000.0,100000.0,0.07021019611932257,1.15083,0.0
"(128, 8)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.13725157125870563,0.5887,0.0
"(256, 4)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.15834443834757392,0.51028,0.0
"(512, 2)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.1679135494596841,0.4812,0.0
"(1024, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08772120290956464,0.9211,0.0
"(2048, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.08557690270922917,0.94418,0.0
"(4096, 1)",Parallel on X_test,100.0,100.0,1000.0,100000.0,0.07617323755114354,1.06074,0.0
"(0, nan)",sklearn,100.0,1.0,1000.0,100000.0,0.052378421127691845,1.54262,1.0
"(0, nan)",sklearn,100.0,10.0,1000.0,100000.0,0.031098811856037134,2.59817,1.0
"(0, nan)",sklearn,100.0,100.0,1000.0,100000.0,0.029710579245983738,2.71957,1.0
"(0, nan)",daal4py,100.0,1.0,1000.0,100000.0,0.18069594775919134,0.44716,1.0
"(0, nan)",daal4py,100.0,10.0,1000.0,100000.0,0.17881249031801183,0.45187,1.0
"(0, nan)",daal4py,100.0,100.0,1000.0,100000.0,0.16052767513013075,0.50334,1.0
"(128, 782)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.14288240495137047,0.5655,1.0
"(256, 391)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16648122965343884,0.48534,1.0
